DBID,Name/Model,Era,Year,Technology Base,Chassis,Rules Level (Current),Tonnage,Designer,Battle Value,Cost,Rating
6312,Longshot (Kilo) LNG-1KC,Clan Invasion,3054,Clan,Biped,Tournament Legal,35,khanwolverine,1758,6306210,-----
3124,Longshot LNG-1B,Clan Invasion,3054,Inner Sphere,Biped,Tournament Legal,35,Catalyst Game Labs,899,5606505,-----
1638,Longshot LNG-1C,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,35,drfunk,1203,6117210,3
2791,Longshot LNG-2,Clan Invasion,3058,Inner Sphere,Biped,Advanced,35,Catalyst Game Labs,1215,6145830,-----
3125,Longshot LNG-3,Civil War,3062,Inner Sphere,Biped,Advanced,35,Catalyst Game Labs,955,18143505,-----
3126,Longshot LNG-3C,Civil War,3064,Inner Sphere,Biped,Advanced,35,Catalyst Game Labs,971,18292005,-----
3127,Longshot LNG-4,Jihad,3068,Inner Sphere,Biped,Advanced,35,Catalyst Game Labs,1086,18169830,-----
5255,Longshot LS-1X,Late Succession Wars,3049,Inner Sphere,Biped,Introductory,65,hughewil,1472,5674460,-----
1988,Loris LRS-3G,Star League,2750,Inner Sphere,Biped,Tournament Legal,45,mud,895,3900790,3
1825,Lost Crusade CRD-Lst,Late Succession Wars,3025,Inner Sphere,Biped,Introductory,65,Oafman,1085,5207510,3.7
6085,Lotus LTS-001A,Civil War,3067,Inner Sphere (Mixed),Land-Air (Standard),Advanced (Extinct),35,Stinger,1581,5570617,-----
1354,Loviartar Prime,Civil War,3067,Clan,Biped,Tournament Legal,90,Wanallo,2665,10214400,3.333333
4121,Lu Wei Bing LN-4B,Republic,3110,Inner Sphere,Biped,Advanced,85,Catalyst Game Labs,2045,19120768,-----
1759,Lugh Prime,Clan Invasion,3050,Clan,Biped,Tournament Legal,55,Beebles,2811,12350090,1.75
1304,Lumberjack PBN-1,Clan Invasion,3055,Inner Sphere,Biped,Tournament Legal,75,Oafman,2386,17174500,3.5
3572,Lupus A,Early Succession Wars,2857,Clan,Biped,Tournament Legal,60,Catalyst Game Labs,1927,7394000,-----
3573,Lupus B,Early Succession Wars,2857,Clan,Biped,Tournament Legal,60,Catalyst Game Labs,1985,7908200,-----
3571,Lupus PRIME,Early Succession Wars,2857,Clan,Biped,Tournament Legal,60,Catalyst Game Labs,2428,8911200,-----
3570,Lupus [BASE],Early Succession Wars,2857,Clan,Biped,Tournament Legal,60,Catalyst Game Labs,873,5960000,-----
6212,LYNX (Little Cat) LYN-9,Late Succession Wars,3045,Inner Sphere,Biped,Tournament Legal,55,Deathloc,1248,8442023,-----
6210,LYNX (Little Cat) LYN-9A,Late Succession Wars,3045,Inner Sphere,Biped,Tournament Legal,55,Deathloc,1539,9814807,-----
3713,Lynx LNX-8Q,Early Succession Wars,2853,Inner Sphere,Biped,Introductory,55,Catalyst Game Labs,1292,4417242,-----
616,Lynx LNX-9C,Clan Invasion,3057,Inner Sphere,Biped,Tournament Legal,55,Catalyst Game Labs,1630,9997242,3
617,Lynx LNX-9Q,Star League,2761,Inner Sphere,Biped,Tournament Legal,55,Catalyst Game Labs,1725,10105742,3.1
618,Lynx LNX-9R,Clan Invasion,3056,Inner Sphere,Biped,Tournament Legal,55,Catalyst Game Labs,1755,10260742,4
2196,Lyran Fist LRF-1A,Civil War,3063,Inner Sphere,Biped,Tournament Legal,100,Knightrunner,1642,7708333,3.75
5306,MacAttack,Republic,3130,Inner Sphere,Biped,Advanced,130,Karagin,1770,175940800,-----
1265,Mach V MCV-1,Clan Invasion,3057,Inner Sphere,Biped,Tournament Legal,25,ralgith,824,5116979,3.142857
6329,Mackie (Imperial) MSK-9HC,Clan Invasion,3061,Clan,Biped,Tournament Legal,100,khanwolverine,2954,10562000,-----
1554,Mackie ll MSK-A14,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,100,bladewind,2177,10300000,3.333333
4035,Mackie MSK-5S,Age of War,2439,Primitive,Biped,Experimental (Extinct),100,Catalyst Game Labs,1401,9638000,-----
720,Mackie MSK-6S,Age of War,2443,Primitive,Biped,Experimental (Extinct),100,Catalyst Game Labs,1426,9740000,3.4375
1421,Mackie MSK-6WR,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,100,Motown Scrapper,2058,9996000,3.75
4394,Mackie MSK-7A,Age of War,2470,Inner Sphere,Biped,Introductory,100,Catalyst Game Labs,1900,9184000,-----
4395,Mackie MSK-8B,Star League,2576,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2019,9454000,-----
3266,Mackie MSK-9H,Star League,2576,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2019,9850000,-----
6396,Mad Cat (Timber Wolf (Jack)) D,Late Succession Wars,2945,Clan,Biped,Tournament Legal,75,khanwolverine,2870,24151641,-----
4004,Mad Cat (Timber Wolf) (Bounty Hunter 2),Jihad,3068,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2799,19155938,-----
2769,Mad Cat (Timber Wolf) (Bounty Hunter),Clan Invasion,3060,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2829,18989250,-----
2511,Mad Cat (Timber Wolf) (Pryde),Clan Invasion,3052,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2900,24483047,4
2507,Mad Cat (Timber Wolf) A,Late Succession Wars,2945,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2854,23534766,5
2508,Mad Cat (Timber Wolf) B,Late Succession Wars,2945,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2224,23564297,1.4375
6150,Mad Cat (Timber Wolf) BLO,Dark Age,3140,Clan (Mixed),Biped,Tournament Legal (Extinct),75,Catalyst Game Labs,2611,25455391,-----
2509,Mad Cat (Timber Wolf) C,Late Succession Wars,2945,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2500,24174609,4.166667
2510,Mad Cat (Timber Wolf) D,Late Succession Wars,2945,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2682,23972266,3.625
2664,Mad Cat (Timber Wolf) E,Clan Invasion,3054,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2444,23587813,4.5
3166,Mad Cat (Timber Wolf) F,Jihad,3069,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2764,24296563,-----
2606,Mad Cat (Timber Wolf) H,Clan Invasion,3059,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2627,24290547,4.1
6397,Mad Cat (Timber Wolf) KILO,Late Succession Wars,2945,Clan,Biped,Tournament Legal,75,khanwolverine,2967,24630703,-----
2506,Mad Cat (Timber Wolf) PRIME,Late Succession Wars,2945,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2737,24099688,4.05
2607,Mad Cat (Timber Wolf) S,Clan Invasion,3050,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2462,23936172,3.166667
4854,Mad Cat (Timber Wolf) U,Jihad,3077,Clan,Biped,Advanced,75,Catalyst Game Labs,2627,25049063,-----
4308,Mad Cat (Timber Wolf) Z,Jihad,3072,Clan,Biped,Experimental (Extinct),75,Catalyst Game Labs,2923,27507813,-----
2483,Mad Cat (Timber Wolf) [BASE],Late Succession Wars,2945,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,1066,21366406,-----
1901,Mad Cat Crazy Kitty,Civil War,3067,Clan,Biped,Tournament Legal,75,Kalo Osis,1941,7294438,1.625
1504,Mad Cat Fc,Clan Invasion,3050,Clan,Biped,Tournament Legal,75,Stinger,3207,19306000,3.375
1346,Mad Cat Ice,Clan Invasion,3056,Clan,Biped,Tournament Legal,75,ralgith,2827,19191813,3.125
3429,Mad Cat III,Republic,3086,Clan,Biped,Advanced,55,Catalyst Game Labs,2400,13099050,-----
4152,Mad Cat III (Eve),Dark Age,3134,Clan,Biped,Tournament Legal,55,Catalyst Game Labs,2393,12302350,-----
2725,Mad Cat III 2,Republic,3089,Clan,Biped,Tournament Legal,55,Catalyst Game Labs,2095,12437200,-----
4955,Mad Cat III 3,Republic,3094,Clan,Biped,Tournament Legal,55,Catalyst Game Labs,2515,12640250,-----
2724,Mad Cat III 4,Republic,3095,Clan,Biped,Tournament Legal,55,Catalyst Game Labs,2061,12247325,-----
4956,Mad Cat III 5,Republic,3097,Clan,Biped,Tournament Legal,55,Catalyst Game Labs,2095,12437200,-----
3052,Mad Cat III 6,Republic,3086,Clan,Biped,Tournament Legal,55,ChronicRune,2323,13409050,-----
6137,Mad Cat III N,Dark Age,3150,Clan,Biped,Tournament Legal,55,WarPug4040,1822,12284525,-----
4163,Mad Cat III X,Jihad,3076,Clan,Biped,Advanced,55,Catalyst Game Labs,2232,13133925,-----
1239,Mad Cat Mk II,Civil War,3066,Clan,Biped,Tournament Legal,90,Catalyst Game Labs,3135,23751900,3.375
3431,Mad Cat Mk II (Enhanced),Jihad,3083,Clan,Biped,Advanced,90,Catalyst Game Labs,2732,24141400,-----
4346,Mad Cat Mk II 2,Jihad,3069,Clan,Biped,Tournament Legal,90,Catalyst Game Labs,2822,24215500,-----
4347,Mad Cat Mk II 3,Jihad,3082,Clan,Biped,Tournament Legal,90,Catalyst Game Labs,3168,24523300,-----
5126,Mad Cat Mk II 4,Republic,3090,Clan,Biped,Tournament Legal,90,Catalyst Game Labs,2962,24285800,-----
5127,Mad Cat Mk II 5,Republic,3109,Clan,Biped,Tournament Legal,90,Catalyst Game Labs,2491,26074650,-----
5128,Mad Cat Mk II 6,Dark Age,3139,Clan,Biped,Advanced,90,Catalyst Game Labs,2663,28019300,-----
3050,Mad Cat Mk II 7,Civil War,3066,Clan,Biped,Tournament Legal,90,ChronicRune,3971,26757700,-----
3051,Mad Cat Mk II 8,Jihad,3085,Clan,Biped,Tournament Legal,90,ChronicRune,2993,24819700,-----
3521,Mad Cat Mk IV (Savage Wolf) A,Dark Age,3136,Clan,Biped,Advanced,75,Catalyst Game Labs,2413,91248281,-----
3522,Mad Cat Mk IV (Savage Wolf) B,Dark Age,3136,Clan,Biped,Advanced,75,Catalyst Game Labs,2606,92339844,-----
3523,Mad Cat Mk IV (Savage Wolf) C,Dark Age,3136,Clan,Biped,Advanced,75,Catalyst Game Labs,2796,93116406,-----
3520,Mad Cat Mk IV (Savage Wolf) PRIME,Dark Age,3136,Clan,Biped,Advanced,75,Catalyst Game Labs,2681,91611406,-----
3519,Mad Cat Mk IV (Savage Wolf) [BASE],Dark Age,3136,Clan,Biped,Advanced,75,Catalyst Game Labs,1146,89003906,-----
3558,Mad Cat Mk IV PR (Savage Wolf),Republic,3130,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2702,19188313,-----
3559,Mad Cat Mk IV PR (Savage Wolf) 2,Dark Age,3131,Clan,Biped,Tournament Legal,75,Catalyst Game Labs,2666,18960813,-----
1347,Mad Cat Tetran,Clan Invasion,3053,Clan,Biped,Tournament Legal,75,ralgith,1815,18495313,2.625
4583,Mad Cat Trickster Mk I,Dark Age,3144,Inner Sphere,Biped,Tournament Legal,90,Scthetricky,1963,8335300,-----
1613,Mad Dog G,Clan Invasion,3050,Clan,Biped,Tournament Legal,60,mud,2436,11878400,4
3178,Madrigal MDGL-1A,Clan Invasion,3055,Inner Sphere,Biped,Tournament Legal,65,Stinger,1644,6174410,-----
663,Maelstrom MTR-5K,Clan Invasion,3056,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1694,18016688,3.625
2881,Maelstrom MTR-6E,Civil War,3062,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1806,18665063,-----
2882,Maelstrom MTR-6K,Civil War,3062,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1678,18315063,-----
5089,Maelstrom MTR-7K,Republic,3112,Inner Sphere (Mixed),Biped,Advanced,75,Catalyst Game Labs,2462,25959500,-----
3185,Malak C-MK-O (Mi),Jihad,3071,Inner Sphere,Biped,Advanced (Extinct),30,Catalyst Game Labs,758,10101406,-----
2902,Malak C-MK-O Invictus,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),30,Catalyst Game Labs,792,6565488,-----
2901,Malak C-MK-O [BASE],Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),30,Catalyst Game Labs,482,6020625,-----
3175,Malak C-MK-OA Dominus,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),30,Catalyst Game Labs,823,6457344,-----
3193,Malak C-MK-OB Infernus,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),30,Catalyst Game Labs,1047,7093125,-----
3205,Malak C-MK-OC Comminus,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),30,Catalyst Game Labs,945,7095806,-----
3206,Malak C-MK-OD Luminos,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),30,Catalyst Game Labs,1055,6822969,-----
3231,Malak C-MK-OE Eminus,Jihad,3072,Inner Sphere,Biped,Tournament Legal (Extinct),30,Catalyst Game Labs,957,6699550,-----
3297,Malak C-MK-OS Caelestis,Jihad,3075,Inner Sphere,Biped,Advanced (Extinct),30,Catalyst Game Labs,1121,6813056,-----
2208,Malcontent MCT-12D-mark II,Clan Invasion,3050,Clan,Biped,Tournament Legal,100,GhostBear-1086,2436,16816667,0
4499,Malice MAL-XP,Dark Age,3139,Inner Sphere (Mixed),Biped,Tournament Legal,100,Catalyst Game Labs,2016,28963333,-----
3544,Malice MAL-XT,Dark Age,3134,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,1852,28707333,-----
4500,Malice MAL-XV,Dark Age,3140,Inner Sphere (Mixed),Biped,Tournament Legal,100,Catalyst Game Labs,1996,29727333,-----
4501,Malice MAL-YZ,Dark Age,3142,Clan (Mixed),Biped,Advanced,100,Catalyst Game Labs,2982,125475667,-----
1985,Mamaluk,Civil War,3067,Clan,Biped,Tournament Legal,55,Kalo Osis,1459,5300948,1.333333
1996,Mamaluk II,Civil War,3067,Clan,Biped,Tournament Legal,55,Kalo Osis,1704,5658998,3.5
3952,Man O' War (Gargoyle) (Conal),Clan Invasion,3055,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,2580,26700150,-----
2513,Man O' War (Gargoyle) A,Late Succession Wars,2945,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,2689,26234962,2.8125
2514,Man O' War (Gargoyle) B,Late Succession Wars,2945,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,1843,25860900,1.166667
2515,Man O' War (Gargoyle) C,Late Succession Wars,2945,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,2437,26455462,2.642857
2667,Man O' War (Gargoyle) D,Late Succession Wars,2945,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,2499,25626112,3
3167,Man O' War (Gargoyle) E,Clan Invasion,3060,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,2257,26451300,-----
3168,Man O' War (Gargoyle) G,Jihad,3069,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,2156,26490000,-----
2608,Man O' War (Gargoyle) H,Clan Invasion,3059,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,2183,26243400,3
3169,Man O' War (Gargoyle) M,Jihad,3068,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,2182,25995000,-----
2512,Man O' War (Gargoyle) PRIME,Late Succession Wars,2945,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,1537,25862812,1.3
5100,Man O' War (Gargoyle) T,Republic,3128,Clan (Mixed),Biped,Advanced,80,Catalyst Game Labs,2800,28079400,-----
2484,Man O' War (Gargoyle) [BASE],Late Succession Wars,2945,Clan,Biped,Tournament Legal,80,Catalyst Game Labs,1026,24127500,-----
526,Mandrill,Early Succession Wars,2829,Clan,Biped,Tournament Legal,30,Catalyst Game Labs,1209,3744065,2.3125
1258,Mangonel MANG-01,Clan Invasion,3055,Inner Sphere,Biped,Advanced,100,ralgith,2188,10344000,3.166667
1256,Mangonel MANG-02,Clan Invasion,3055,Inner Sphere,Biped,Advanced,100,ralgith,1988,22602000,1.375
3345,Mangonel MNL-3L,Jihad,3079,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1552,13421500,-----
4546,Mangonel MNL-3W,Jihad,3082,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2657,16864567,-----
5042,Mangonel MNL-4S,Republic,3088,Inner Sphere (Mixed),Biped,Tournament Legal,70,Catalyst Game Labs,2659,13506500,-----
3119,Mantis MTS-L,Civil War,3064,Inner Sphere,Biped,Advanced,30,Catalyst Game Labs,1194,9447750,-----
2790,Mantis MTS-S,Clan Invasion,3061,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,1128,5827250,-----
3120,Mantis MTS-T,Civil War,3063,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,1312,6145750,-----
3121,Mantis MTS-T2,Civil War,3063,Inner Sphere,Biped,Advanced,30,Catalyst Game Labs,1380,6243250,-----
3122,Mantis MTS-T3,Civil War,3063,Inner Sphere,Biped,Advanced,30,Catalyst Game Labs,1380,6243250,-----
3123,Mantis SA-MN,Clan Invasion,3052,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,704,5582850,-----
4566,Marader III MAD III- X,Dark Age,3144,Clan (Mixed),Biped,Tournament Legal,100,Winking Mutant,2829,28791333,-----
4567,Marader III MAD III- XI,Dark Age,3144,Clan (Mixed),Biped,Tournament Legal,100,Winking Mutant,3209,29095333,-----
2766,Marauder (Bounty Hunter-3015),Late Succession Wars,3015,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1919,6755875,-----
2767,Marauder (Bounty Hunter-3044),Late Succession Wars,3044,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,2103,13015625,-----
6322,Marauder (Imperial) MAD-3KC2,Clan Invasion,3061,Clan,Biped,Tournament Legal,75,khanwolverine,2630,15951250,-----
6313,Marauder (KILO) MAD-3KC,Clan Invasion,3061,Clan,Biped,Tournament Legal,75,khanwolverine,2348,7776563,-----
4673,Marauder C,Clan Invasion,3050,Inner Sphere (Mixed),Biped,Tournament Legal,75,Catalyst Game Labs,1616,6758500,-----
6444,Marauder II (Black Watch) MAD-2Rb,Star League,2760,Inner Sphere,Biped,Tournament Legal,75,WC65nelson,1987,18665500,-----
2768,Marauder II (Bounty Hunter),Civil War,3064,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,3767,11324000,-----
4713,Marauder II (Phalanx) MAD XX,Dark Age,3144,Inner Sphere (Mixed),Biped,Tournament Legal (Extinct),100,Winking Mutant,2946,12958000,-----
5617,Marauder II (Prototype) MAD-6SX,Republic,3125,Inner Sphere,Biped,Tournament Legal (Extinct),100,Kylo Kruis,2370,19936500,-----
5670,Marauder II (Sodium) MAD-10Na,Republic,3115,Inner Sphere,Biped,Tournament Legal,100,Alisa Wolfstein,2364,19018000,-----
2697,Marauder II C,Civil War,3066,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2916,29469333,-----
4564,Marauder II MAD XI,Civil War,3067,Inner Sphere,Biped,Tournament Legal,100,Winking Mutant,2766,10628000,-----
5545,Marauder II MAD-10N,Republic,3112,Inner Sphere,Biped,Tournament Legal (Extinct),100,Alisa Wolfstein,2223,19958000,-----
232,Marauder II MAD-4A,Late Succession Wars,3012,Inner Sphere,Biped,Introductory,100,Catalyst Game Labs,2073,9356000,4.25
2751,Marauder II MAD-4A2,Late Succession Wars,3025,Inner Sphere,Biped,Tournament Legal,100,ChronicRune,2236,12196000,-----
1096,Marauder II MAD-4H,Civil War,3067,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2180,10444000,1.714286
2749,Marauder II MAD-4HB,Civil War,3067,Inner Sphere,Biped,Tournament Legal,100,ChronicRune,2188,12752000,-----
3925,Marauder II MAD-4K,Jihad,3070,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2626,17967000,-----
5187,Marauder II MAD-4L,Jihad,3084,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2839,19984000,-----
1097,Marauder II MAD-4S,Civil War,3064,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2623,18842000,2.666667
231,Marauder II MAD-5A,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2058,22456000,2.428571
4682,Marauder II MAD-5B,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2589,10272000,-----
4683,Marauder II MAD-5C,Clan Invasion,3052,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2024,22068000,-----
3980,Marauder II MAD-5W,Jihad,3070,Inner Sphere,Biped,Tournament Legal (Extinct),100,Catalyst Game Labs,2383,13902000,-----
6676,Marauder II MAD-6BH,Republic,3120,Inner Sphere (Mixed),Biped,Advanced,100,Alisa Wolfstein,3657,12492000,-----
3401,Marauder II MAD-6D,Jihad,3083,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2378,24878000,-----
4684,Marauder II MAD-6M,Jihad,3078,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2218,29329333,-----
5194,Marauder II MAD-6S,Dark Age,3133,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2546,18686500,-----
2748,Marauder II MAD-7A,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,100,ChronicRune,2724,10350000,-----
6648,Marauder II MAD-8L,Jihad,3085,Inner Sphere (Mixed),Biped,Advanced (Extinct),100,Alisa Wolfstein,2681,13224000,-----
692,Marauder IIC,Early Succession Wars,2828,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2680,9913533,4.55
1074,Marauder IIC 2,Civil War,3063,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2358,10033783,3.1
1075,Marauder IIC 3,Civil War,3064,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2445,9846008,2.5
3967,Marauder IIC 4,Jihad,3070,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,3447,21239233,-----
1919,Marauder IIC 4,Civil War,3067,Clan,Biped,Tournament Legal,85,Kalo Osis,2403,10140158,2.75
3968,Marauder IIC 5,Jihad,3070,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2386,10085583,-----
4695,Marauder IIC 6,Jihad,3077,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2646,23420383,-----
3407,Marauder IIC 7,Jihad,3078,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2843,17231363,-----
4696,Marauder IIC 8,Late Succession Wars,3025,Clan,Biped,Tournament Legal,85,Catalyst Game Labs,2554,9795596,-----
1849,Marauder III,Clan Invasion,3050,Clan,Biped,Tournament Legal,95,Looter,3084,25873900,4.166667
1850,Marauder III A,Clan Invasion,3050,Clan,Biped,Tournament Legal,95,Looter,2994,25873900,3.5
1851,Marauder III B,Clan Invasion,3050,Clan,Biped,Tournament Legal,95,Looter,3079,26089375,4
2957,Marauder III MAD-51R,Early Succession Wars,2900,Clan,Biped,Tournament Legal,100,Daphne Wilde,3482,23102000,5
5784,Marauder M-BUL,Late Succession Wars,2905,Inner Sphere,Biped,Advanced,75,bullitt,1570,8976625,-----
5699,Marauder MAD-11C,Republic,3090,Inner Sphere (Mixed),Biped,Tournament Legal,75,Kylo Kruis,2081,8144500,-----
5700,Marauder MAD-11CB,Republic,3090,Inner Sphere (Mixed),Biped,Tournament Legal,75,Kylo Kruis,1845,8267000,-----
4377,Marauder MAD-1R,Star League,2612,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1420,6898500,-----
5069,Marauder MAD-1R-MB1C,Early Succession Wars,2819,Inner Sphere,Biped,Tournament Legal,75,Ruger,1931,7964250,-----
1826,Marauder MAD-1XIN,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,75,Khayman,1782,8254750,3.75
4378,Marauder MAD-2R,Star League,2760,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1630,7395500,-----
5781,Marauder MAD-2S,Star League,2780,Inner Sphere,Biped,Tournament Legal,75,Ruger,1903,7922250,-----
5297,Marauder MAD-3AC,Early Succession Wars,2819,Inner Sphere,Biped,Introductory,75,Stinger07,1327,6489000,-----
75,Marauder MAD-3D,Early Succession Wars,2834,Inner Sphere,Biped,Introductory,75,Catalyst Game Labs,1470,6597500,3.75
2094,Marauder MAD-3K,Late Succession Wars,3009,Inner Sphere,Biped,Introductory,75,Rudel Gurken,1473,6289500,-----
77,Marauder MAD-3L,Late Succession Wars,2905,Inner Sphere,Biped,Introductory,75,Catalyst Game Labs,1369,6459250,3.45
78,Marauder MAD-3M,Early Succession Wars,2873,Inner Sphere,Biped,Introductory,75,Catalyst Game Labs,1335,6291250,3.227273
79,Marauder MAD-3R,Early Succession Wars,2819,Inner Sphere,Biped,Introductory,75,Catalyst Game Labs,1363,6627250,3.5
3004,Marauder MAD-3R MK. II,Jihad,3085,Inner Sphere,Biped,Advanced (Extinct),75,ChronicRune,1787,17524500,-----
5780,Marauder MAD-3S,Early Succession Wars,2819,Inner Sphere,Biped,Introductory,75,Ruger,1603,6266750,-----
5588,Marauder MAD-3SR,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,75,Marcus Smythe,1940,15992375,-----
5589,Marauder MAD-3SRC,Clan Invasion,3059,Inner Sphere,Biped,Advanced,75,Marcus Smythe,1691,19070625,-----
2095,Marauder MAD-4K,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,75,Rudel Gurken,1633,7003500,-----
4629,Marauder MAD-4X,Late Succession Wars,3039,Inner Sphere,Biped,Experimental (Extinct),75,Catalyst Game Labs,1453,7309750,-----
2999,Marauder MAD-4X MK. II,Civil War,3067,Inner Sphere,Biped,Tournament Legal (Extinct),75,ChronicRune,1616,13840750,-----
406,Marauder MAD-5D,Late Succession Wars,3047,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1787,15734250,3.666667
5650,Marauder MAD-5G,Jihad,3082,Inner Sphere,Biped,Tournament Legal,75,Alisa Wolfstein,2081,8771875,-----
6557,Marauder MAD-5J,Civil War,3067,Inner Sphere,Biped,Tournament Legal,75,nightmare588,1861,7521500,-----
1040,Marauder MAD-5L,Civil War,3067,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,2244,10452750,4.5
407,Marauder MAD-5M,Clan Invasion,3051,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1471,15620500,2.625
1041,Marauder MAD-5R,Jihad,3068,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1877,16191000,4.125
5300,Marauder MAD-5Rd,Jihad,3068,Inner Sphere,Biped,Tournament Legal,75,Stinger07,1972,16761500,-----
408,Marauder MAD-5S,Clan Invasion,3051,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1799,15463000,3.555556
1042,Marauder MAD-5T,Jihad,3068,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1750,15284500,3.2
1333,Marauder MAD-5Y-C,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,75,ralgith,1633,15766188,4
1334,Marauder MAD-5Y-CT,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,75,ralgith,1942,17603688,4
3930,Marauder MAD-6L,Jihad,3070,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,2322,10176250,-----
5765,Marauder MAD-6L2,Jihad,3083,Inner Sphere,Biped,Advanced,75,Alisa Wolfstein,1857,16485875,-----
2187,Marauder MAD-6X,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,75,Kalo Osis,1490,7281750,2.333333
1102,Marauder MAD-7D,Jihad,3068,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1986,15638000,3.333333
1624,Marauder MAD-8D,Civil War,3067,Inner Sphere,Biped,Tournament Legal,75,StarRaven,1864,7924000,4.333333
